LAPORAN DATA ALUTSISTA TNI,,,,,,,,,,,,,,,,
SEMESTER II TA. 2020,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NO,JENIS MATERIIL,,,,,JUMLAH,KONDISI,,,KESIAPAN %,KETERANGAN (dibandingkan dengan Laporan Tw. III TA. 2020),,,,,
,,,,,,,B,RR,RB,,,,,,,
,,,,,,,,,,,,,,,,
A.,,KEMHAN,,,,,,,,,,,,,,
,,-,SENJATA,,, 103 , 103 , - , - ,100%,,,,,,
,,,a.,Pistol,, 83 , 83 , - , - ,100%,Tidak terjadi perubahan,,,,,
,,,b.,Senapan,, 20 , 20 , - , - ,100%,Idem,,,,,
,,JUMLAH PROSENTASE KESIAPAN ,,,,,,,,100%,,,,,,
,,,,,,,,,,,,,,,,
B.,,MABES TNI,,,,,,,,,,,,,,
,,1.,SENJATA,,," 16,309 "," 14,505 "," 1,417 ", 387 ,89%,, 275 ," 16,034 "," 14,230 "," 1,417 ", 387 
,,,a.,Pistol/Revolver,," 7,759 "," 7,259 ", 369 , 131 ,94%,Tidak terjadi perubahan, -   ," 7,759 "," 7,259 ", 369 , 131 
,,,b.,Pistol Mitraliur,," 1,441 "," 1,424 ", 12 , 5 ,99%,Idem, -   ," 1,441 "," 1,424 ", 12 , 5 
,,,c.,Senapan,," 6,528 "," 5,285 ", 994 , 249 ,81%,Idem, 275 ," 6,253 "," 5,010 ", 994 , 249 
,,,d.,Senapan Runduk,, 98 , 95 , 3 , -   ,97%,Idem, -   , 98 , 95 , 3 , - 
,,,e.,Pelontar Granat,, 247 , 247 , -   , -   ,100%,Idem, -   , 247 , 247 , - , - 
,,,f.,Senapan Mesin,, 205 , 164 , 39 , 2 ,80%,Idem, -   , 205 , 164 , 39 , 2 
,,,g.,Senjata Kelompok,, 31 , 31 , -   , -   ,100%,Idem, -   , 31 , 31 , - , - 
,,2.,RANPUR,,, 33 , 25 , 6 , 2 ,76%,,,,,,
,,,a.,CO. RANGE VVIP,, 5 , 3 , 2 , -   ,60%,Idem,,,,,
,,,b.,PANSER ANOA 6X6,, 16 , 12 , 4 , -   ,75%,Idem,,,,,
,,,c.,P2 COMANDO,, 5 , 5 , -   , -   ,100%,Idem,,,,,
,,,d.,P2 APC,, 5 , 5 , -   , -   ,100%,Idem,,,,,
,,,e.,APC RANGER,, 2 , -   , -   , 2 ,0%,Idem,,,,,
,,3.,MUNISI,,," 23,377,313 "," 23,377,288 ", 8 , 17 ,100%,,,,,,
,,,a.,Munisi Kaliber Kecil,," 23,377,101 "," 23,377,084 ", -   , 17 ,100%,Idem,,,,,
,,,b.,Munisi Kaliber Besar,, 186 , 178 , 8 , -   ,96%,Idem,,,,,
,,,c.,Munisi Khusus,, 26 , 26 , -   , -   ,100%,Idem,,,,,
,,JUMLAH PROSENTASE KESIAPAN ,,,,,,,,88%,,,,,,
C.,,TNI AD,,,,,,,,,,,,,,
,,1.,RANPUR,,," 2,101 "," 1,515 ", 108 , 478 ,72%,,,,,,
,,,a.,Panser,," 1,016 ", 711 , 52 , 253 ,70%,Tidak terjadi perubahan,,,,,
,,,b.,Tank,," 1,085 ", 804 , 56 , 225 ,74%,Idem,,,,,
,,2.,SENJATA,,," 636,038 "," 479,942 "," 74,858 "," 81,238 ",75%,,,,,,
,,,a.,Senjata Infantri Perorangan,," 631,077 "," 475,794 "," 74,516 "," 80,767 ",75%,,,,,,
,,,,1),Ringan (Perorangan)," 612,021 "," 461,442 "," 72,428 "," 78,151 ",75%,Jumlah sebelumnya 611.547 menjadi 612.021 penambahan sebanyak 474 pucuk,,,,,
,,,,,,,,,,,,,,,,
,,,,2),Berat (Kelompok)," 19,056 "," 14,352 "," 2,088 "," 2,616 ",75%,Tidak terjadi perubahan,,,,,
,,,b.,Senjata Kavaleri Arkubah/Canon,, 422 , 347 , 50 , 25 ,82%,Idem,,,,,
,,,c.,Senjata Artileri ,," 1,418 ", 925 , 178 , 315 ,65%,,,,,,
,,,,1),Artileri Medan, 667 , 508 , 47 , 112 ,76%,Idem," 1,418.0 ",,,,
,,,,2),Artileri Pertahanan Udara, 751 , 417 , 131 , 203 ,56%,Idem,,,,,
,,,d.,Shot Gun,, 614 , 613 , 1 , - ,100%,Idem,,,,,
,,,e.,Senjata Khusus,, 160 , 89 , 1 , 70 ,56%,Idem,,,,,
,,,f.,Senjata Pesawat Terbang,, 212 , 177 , 5 , 30 ,83%,Idem,,,,,
,,,g.,Senjata Alins,," 2,135 "," 1,997 ", 107 , 31 ,94%,Idem,,,,,
,,3.,MUNISI,,," 325,245,822 "," 325,245,822 ", - , - ,100%,,,,,,
,,,a.,Munisi Kaliber Kecil,," 304,562,351 "," 304,562,351 ", - , - ,100%,Jumlah sebelumnya 309.911.628 menjadi 304.562.351 pengurangan sebanyak 5.349.277 butir," 316,781,668.0 ",,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,b.,Munisi Kaliber Besar,," 1,535,841 "," 1,535,841 ", - , - ,100%,Jumlah sebelumnya 1.503.941 menjadi 1.535.841 penambahan sebanyak 5.900 butir," 2,285,835.0 ",,,,
,,,,,,,,,,,,,,,,
,,,c.,Munisi Khusus,," 19,147,630 "," 19,147,630 ", - , - ,100%,Jumlah sebelumnya 18.838.517 menjadi 19.147.630 penambahan sebanyak 309.113 butir," 16,422,857.0 ",,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,d.,Alkap Munisi,," 84,393 "," 84,393 ", - , - ,100%,Jumlah sebelumnya 87.285 menjadi 84.393 terjadi pengurangan sebanyak 2.892 unit," 83,195.0 ",,,,
,,,,,,,,,,,,,,,,
,,4.,RANMOR,,," 85,325 "," 73,880 "," 3,495 "," 7,950 ",87%,," 335,573,555.0 ",,,,
,,,a.,Kendaraan Taktis,," 19,679 "," 17,201 ", 863 ," 1,615 ",87%,Jumlah sebelumnya 19.762 menjadi 19.679 terjadi pengurangan sebanyak 83 unit,,,,,
,,,,,,,,,,,,,,,,
,,,b.,Kendaraan Khusus,," 3,577 "," 2,970 ", 259 , 348 ,83%,Jumlah sebelumnya 3.580 menjadi 3.577 pengurangan sebanyak 3 unit,,,,,
,,,,,,,,,,,,,,,,
,,,c.,Kendaraan Administrasi,," 62,069 "," 53,709 "," 2,373 "," 5,987 ",87%,Jumlah sebelumnya 62.236 menjadi 62.069 terjadi pengurangan sebanyak 167 unit,,,,,
,,,,,,,,,,,,,,,,
,,5.,ALOPTIK,,," 124,008 "," 110,496 "," 5,699 "," 7,813 ",89%,Jumlah sebelumnya 121.454 menjadi 124.008 terjadi penambahan sebanyak 6.554 unit,,,,,
,,,a.,KOMPAS,," 51,092 "," 43,229 "," 3,014 "," 4,849 ",85%,,,,,,
,,,b.,TEROPONG 7 X 50,," 17,566 "," 15,299 "," 1,045 "," 1,222 ",87%,,,,,,
,,,c.,TEROPONG 6 X 30,," 10,645 "," 9,451 ", 611 , 583 ,89%,,,,,,
,,,d.,TBSS,," 19,269 "," 18,974 ", 270 , 25 ,98%,,,,,,
,,,e.,TBSM,, 752 , 665 , 46 , 41 ,88%,,,,,,
,,,f.,Teropong Gunting,, 297 , 246 , 46 , 5 ,83%,,,,,,
,,,g.,Teropong Medan Optronik Leica Victor,, 17 , 16 , 1 , - ,94%,,,,,,
,,,h.,Teropong multi fungsi vetronick moskito,, 31 , 31 , - , - ,100%,,,,,,
,,,i.,LEICA 21,, 48 , 48 , - , - ,100%,,,,,,
,,,j.,LEICA 23,, 19 , 19 , - , - ,100%,,,,,,
,,,k.,Teropong Long Range,, 6 , 6 , - , - ,100%,,,,,,
,,,l.,ASPIS,, 4 , 4 , - , - ,100%,,,,,,
,,,m.,LINK,, 4 , 4 , - , - ,100%,,,,,,
,,,n.,NIMOS,, 4 , 4 , - , - ,100%,,,,,,
,,,o.,TA 31 RMR,, 129 , 129 , - , - ,100%,,,,,,
,,,p.,LEICA IV,, 10 , 10 , - , - ,100%,,,,,,
,,,q.,Teropong Single tube Diana 3X,, 36 , 36 , - , - ,100%,,,,,,
,,,r.,TEROPONG CAMPURAN,, 834 , 711 , 78 , 45 ,85%,,,,,,
,,,s.,NVG (NIGHT VISSION GOGLES),," 8,714 "," 8,221 ", 50 , 443 ,94%,,,,,,
,,,t.,BOUSSOLLE,, 371 , 312 , 36 , 23 ,84%,,,,,,
,,,u.,TELESCOP,, 903 ,858,10,35,95%,,,,,,
,,,v.,PERISCOPE,, 242 , 163 , 24 , 55 ,67%,,,,,,
,,,w.,ALAT BIDIK,," 2,533 "," 2,441 ", 61 , 31 ,96%,,,,,,
,,,x.,THERMAL,," 1,020 "," 1,004 ",9,7,98%,,,,,,
,,,y.,OPTIK CAMPURAN,," 9,462 "," 8,615 ", 398 , 449 ,91%,,,,,,
,,6.,ALPALSUS,,, 246 , 244 , 2 , - ,99%,Tidak terjadi perubahan,,,,,
,,7.,PESAWAT TERBANG,,, 128 , 29 , 88 , 11 ,23%,,,,,,
,,,a.,Heli Serbu,, 59 , 14 , 37 , 8 ,24%,Jumlah sebelumnya 58 menjadi 59 terjadi penambahan sebanyak1 unit,,,,,
,,,,,,,,,,,,,,,,
,,,b.,Heli Serang,, 34 , 5 , 29 , - ,15%,Tidak terjadi perubahan,,,,,
,,,c.,Heli Latih,, 21 , 7 , 11 , 3 ,33%,Idem,,,,,
,,,d.,Heli Sena,, 7 , - , 7 , - ,0%,Idem,,,,,
,,,e.,Sayap Tetap Sena,, 7 , 3 , 4 , - ,43%,Idem,,,,,
,,8.,SENJATA PESAWAT TERBANG,,, 218 , 182 , 2 , 34 ,83%,Idem,,,,,
,,9.,MUNISI PESAWAT TERBANG,,," 763,302 "," 763,302 ", - , - ,100%,Jumlah sebelumnya 865.356 menjadi 773.515 terjadi pengurangan sebanyak 102.054 butir,,,,,
,,,,,,,,,,,,,,,,
,,10.,ALANG AIR,,," 2,647 "," 1,558 ", 163 , 926 ,59%,,,,,,
,,,a.,Kapal ,, 39 , 30 , 2 , 7 ,77%,Jumlah sebelumnya 40 menjadi 39 terjadi pengurangan sebanyak 1 unit,,,,,
,,,,,,,,,,,,,,,,
,,,b.,Kapal Motor Cepat,, 443 , 303 , 16 , 124 ,68%,Jumlah sebelumnya 488 menjadi 443 terjadi pengurangan sebanyak 45 unit,,,,,
,,,,,,,,,,,,,,,,
,,,c.,Landing Craft Rubber,," 1,402 ", 890 , 115 , 397 ,63%,Tidak terjadi perubahan,,,,,
,,,d.,Motor Air,, 362 , 67 , 25 , 270 ,19%,Idem,,,,,
,,,e.,Lain-lain,, 401 , 268 , 5 , 128 ,67%,Idem,,,,,
,,JUMLAH PROSENTASE KESIAPAN ,,,,,,,,79%,,,,,,
,,,,,,,,,,,,,,,,
D.,,TNI AL,,,,,,,,,,,,,,
,,1.,KAPAL,,, 635 , 435 , 104 , 96 ,68.50%,,,,,,
,,,a.,KRI,, 163 , 133 , 8 , 22 ,81.60%,Jumlah sebelumnya 157 menjadi 163 terjadi penambahan sebanyak 6 unit,,,,,
,,,,,,,,,,,,,,,,
,,,b.,Kapal Angkatan Laut,, 139 , 99 , 30 , 10 ,71.22%,Tidak terjadi perubahan,,,,,
,,,c.,Kapal Patroli Keamanan Laut,, 323 , 197 , 62 , 64 ,60.99%,Jumlah sebelumnya 327 menjadi 323 terjadi pengurangan sebanyak 4 unit,,,,,
,,,,,,,,,,,,,,,,
,,,d.,Kapal Tunda,, 10 , 6 , 4 , - ,60.00%,Tidak terjadi perubahan,,,,,
,,2.,SENJATA,,," 143,103 "," 99,307 ", - ," 43,796 ",69.40%,,,,,,
,,,a.,Pistol,," 31,035 "," 21,122 ", - ," 9,913 ",68.06%,"Jumlah sebelumnya 31,040 menjadi 31,035 terjadi pengurangan sebanyak 5 pucuk",,,,,
,,,,,,,,,,,,,,,,
,,,b.,Senapan,," 107,638 "," 74,799 ", - ," 32,839 ",69.49%,"Jumlah sebelumnya 102,511 menjadi 107,638 terjadi penambahan sebanyak 5,127 pucuk",,,,,
,,,,,,,,,,,,,,,,
,,,c.,Tabung Peluncur,," 3,424 "," 2,700 ", - , 724 ,78.86%,Tidak terjadi perubahan,,,,,
,,,d.,Meriam,," 1,006 ", 686 , - , 320 ,68.19%,Idem,,,,,
,,3.,MUNISI,,," 73,036,627 "," 70,253,004 ", - ," 2,783,623 ",96.19%,,,,,,
,,,a.,Munisi Kaliber Kecil,," 71,217,613 "," 68,787,980 ", - ," 2,429,633 ",96.59%,Jumlah sebelumnya 61.734.867 menjadi 71.217.613 terjadi penambahan sebanyak 9.482.746 butir,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,b.,Munisi Kaliber Besar,," 1,808,636 "," 1,457,479 ", - ," 351,157 ",80.58%,Jumlah sebelumnya 1.818.147 menjadi 1.808.636 terjadi pengurangan sebanyak 9.511 butir,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,c.,Munisi Khusus,," 10,378 "," 7,545 ", - ," 2,833 ",72.70%,,,,,,
,,,,1),Roket," 8,895 "," 7,215 ", - ," 1,680 ",81.11%,Tidak terjadi perubahan,,,,,
,,,,2),Rudal," 1,385 ", 317 , - ," 1,068 ",22.89%,Idem,,,,,
,,,,3),Torpedo, 98 , 13 , - , 85 ,13.27%,Idem,,,,,
,,4.,PESAWAT UDARA,,, 95 , 31 , 30 , 34 ,32.63%,, 34.0 , (4.0),,,
,,,a.,Pesawat Angkut Taktis,, 14 , 5 , 4 , 5 ,35.71%,Idem,,,,,
,,,b.,Pesawat Intai Taktis,, 27 , 4 , 4 , 19 ,14.81%,Idem,,,,,
,,,c.,Pesawat Latih,, 24 , 12 , 8 , 4 ,50.00%,Idem,,,,,
,,,d.,Helikopter,, 28 , 9 , 13 , 6 ,32.14%,Idem,,,,,
,,,e. ,Helikopter Latih,, 2 , 1 , 1 , - ,50.00%,Idem,,,,,
,,5.,RANPUR,,, 436 , 173 , 87 , 176 ,39.68%,,,,,,
,,,a.,Tank,, 156 , 68 , 34 , 54 ,43.59%,Tidak terjadi perubahan,,,,,
,,,b.,Panser Ampibi,, 209 , 74 , 26 , 109 ,35.41%, ,,,,,
,,,c.,Panser Intai,, 17 , 8 , 7 , 2 ,47.06%,Idem,,,,,
,,,d.,MLRS,, 29 , 14 , 8 , 7 ,48.28%,Idem,,,,,
,,,e. ,Arhanud GS,, 25 , 9 , 12 , 4 ,36.00%,Idem,,,,,
,,6.,RANMOR,,," 10,916 "," 5,176 "," 3,696 "," 2,044 ",47.42%,,,,,,
,,,a.,Kendaraan Taktis,," 1,288 ", 535 , 341 , 412 ,41.54%,Idem,,,,,
,,,b.,Kendaraan Khusus,," 1,425 ", 797 , 433 , 195 ,55.93%,Idem,,,,,
,,,c.,Kendaraan Administrasi,," 8,203 "," 3,844 "," 2,922 "," 1,437 ",46.86%,Idem,,,,,
,,,,,,,,,,,,,,,,
E.,,TNI AU,,,,,,,,,,,,,,
,,1.,PESAWAT,,, 255 , 132 , 122 , 1 ,52%,,,,,,
,,,a.,Pesawat Tempur,, 111 , 43 , 67 , 1 ,39%,Tidak terjadi perubahan,,,,,
,,,b.,Pesawat Angkut Berat,, 25 , 10 , 15 , - ,40%,Idem,,,,,
,,,c.,Pesawat Angkut Ringan,, 23 , 10 , 13 , - ,43%,Idem,,,,,
,,,d.,Pesawat Intai Strategis,, 4 , 2 , 2 , - ,50%,Idem,,,,,
,,,e.,Helikopter,, 28 , 16 , 12 , - ,57%,Idem,,,,,
,,,f.,Pesawat Latih,, 50 , 40 , 10 , - ,80%,Idem,,,,,
,,,g.,Pesawat Tanpa Awak,, 4 , 3 , 1 , - ,75%,,,,,,
,,,,-,Aero Star BP, 4 , 3 , 1 , - ,75%,Idem,,,,,
,,,h.,Tanker,, 1 , 1 , - , - ,100%,Idem,,,,,
,,,i.,VIP,, 8 , 6 , 2 , - ,75%,Jumlah sebelumnya 10 menjadi 8 terjadi pengurangan sebanyak 2 unit (karena 2 unit Heli AS 332 L2 VIP merupakan BMN Setneg),,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,j.,Pesawat Kodal,, 1 , 1 , - , - ,100%,Tidak ada perubahan,,,,,
,,2.,RADAR,,, 21 , 19 , 2 , - ,90%,,,,,,
,,,a.,Ground-Controlled Interception (CGI),, 15 , 13 , 2 , - ,87%,Idem,,,,,
,,,b.,Early Warning (EW),, 6 , 6 , - , - ,100%,Idem,,,,,
,,3.,PERNIKA,,, 210 , 178 , 32 , - ,85%,,,,,,
,,,a.,Alpernika Udara/Pesawat,, 166 , 140 , 26 , - ,84%,,,,,,
,,,,1),Electronic Warfare Support, 77 , 59 , 18 , - ,77%,Idem,,,,,
,,,,2),Electronic Attack, 89 , 81 , 8 , - ,91%,Idem,,,,,
,,,b.,Alpernika Darat,, 44 , 38 , 6 , - ,86%,,,,,,
,,,,1),Electronic Warfare Support, 35 , 29 , 6 , - ,83%,Idem,,,,,
,,,,2),Electronic Attack, 9 , 9 , - , - ,100%,Idem,,,,,
,,4.,SENJATA,,," 61,992 "," 48,752 "," 12,288 ", 952 ,79%,,,,,,
,,,a.,Pistol,," 11,939 "," 10,026 "," 1,872 ", 41 ,84%,Idem,,,,,
,,,b.,Revolver,," 3,297 "," 2,044 "," 1,084 ", 169 ,62%,Idem,,,,,
,,,c.,Pistol Isyarat,, 736 , 634 , 70 , 32 ,86%,Idem,,,,,
,,,d.,Pistol Mitraliur,, 742 , 742 , - , - ,100%,Idem,,,,,
,,,e.,Senapan ,," 39,226 "," 29,607 "," 8,959 ", 660 ,75%,Idem,,,,,
,,,f.,Shot Guns,, 18 , 18 , - , - ,100%,Idem,,,,,
,,,g.,Sniper/Anti Sniper,, 120 , 113 , 7 , - ,94%,Idem,,,,,
,,,h.,PelontarGranat,, 672 , 671 , 1 , - ,100%,Idem,,,,,
,,,i.,Senapan Mesin Ringan/Sedang,," 2,086 "," 1,887 ", 176 , 23 ,90%,Idem,,,,,
,,,j.,Senapan Mesin Berat,, 262 , 186 , 51 , 25 ,71%,Idem,,,,,
,,,k.,Senapan Lawan Tank (SLT)/Lapis Baja,, 219 , 177 , 41 , 1 ,81%,Idem,,,,,
,,,l.,Penangkis Serangan Udara,, 38 , 11 , 26 , 1 ,29%,Idem,,,,,
,,,m.,Senjata Khusus,," 2,637 "," 2,636 ", 1 , - ,100%,Idem,,,,,
,,5.,MUNISI,,," 18,914,198 "," 18,914,109 ", 61 , 28 ,100%,,,,,,
,,,a.,Munisi Kaliber Kecil,," 17,980,189 "," 17,980,189 ", - , - ,100%,Idem,,,,,
,,,b.,Munisi Kaliber Besar,," 271,389 "," 271,389 ", - , - ,100%,Idem," 276,596.0 ",,,,
,,,c.,Bom dan Roket,," 4,566 "," 4,566 ", - , - ,100%,Idem," 117,463.0 ",,,,
,,,d.,Rudal,, 641 , 552 , 61 , 28 ,86%,Jumlah sebelumnya 644 menjadi 641 terjadi pengurangan sebanyak 3 unit (Rudal TGM-65G digunakan latihan Fire Power Demo)," 112,285.0 ",,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,e.,Munisi Khusus,," 657,413 "," 657,413 ", - , - ,100%,Tidak ada perubahan," 1,222.0 ",,,,
,,6.,RANMOR,,, 171 , 150 , 5 , 16 ,88%,,,,,,
,,,a.,Kendaraan Taktis,, 17 , 8 , - , 9 ,47%,Idem,,,,,
,,,b.,Kendaraan Khusus,, 105 , 101 , 3 , 1 ,96%,Idem,,,,,
,,,c.,Kendaraan Administrasi,, 49 , 41 , 2 , 6 ,84%,Idem,,,,,
,,,,,,,,,,,,,,,,
,,JUMLAH PROSENTASE KESIAPAN ,,,,,,,,82%,,,,,,
,,JUMLAH TOTAL PROSENTASE KESIAPAN ALUTSISTA ,,,,,,,,79%,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
